,X,Y,E,DX,q_range,y_range_fit,y_fit
5,0.00149311,0.0,0.0,0.0,0.01,8.19859843135,0.0384838820627
6,0.00172122,0.0,0.0,0.0001422,0.0101587301587,8.16198517473,0.0384838820627
7,0.00194933,15.6033,3.8239,0.000285277,0.0103174603175,7.32881942367,27.2068968894
8,0.00217744,18.5163,1.99372,0.00028665,0.0104761904762,6.97972836486,32.2790026037
9,0.00240555,22.7922,1.18842,0.000286905,0.0106349206349,6.95095616417,39.7241851726
10,0.00263366,23.7987,1.01799,0.000286785,0.0107936507937,6.17761202105,41.4766995569
11,0.00286177,25.4021,1.02802,0.000286946,0.0109523809524,5.5713573136,44.2685341954
12,0.00308988,27.4261,0.967947,0.000287034,0.0111111111111,5.0612334773,47.7927161266
13,0.00331799,32.9638,0.984473,0.00028704,0.0112698412698,4.59923835262,57.4349405735
14,0.0035461,38.664,1.11651,0.000287125,0.0114285714286,4.39027204069,67.3601094688
15,0.00377421,50.2099,1.08297,0.000287413,0.0115873015873,4.1344888812,87.4637913657
16,0.00400232,64.4836,1.21002,0.000287231,0.011746031746,3.68292617809,112.317109365
17,0.00423043,85.3564,1.40452,0.000287154,0.0119047619048,3.05152047301,148.66075789
18,0.00445854,111.168,1.44641,0.00028755,0.0120634920635,2.59046047619,193.603828213
19,0.00468665,132.949,1.65276,0.000287457,0.0122222222222,2.32608172201,231.528831496
20,0.00491476,162.808,1.74816,0.000287342,0.012380952381,2.09226704234,283.519220964
21,0.00514287,176.275,1.69845,0.000287468,0.0125396825397,1.82823282559,306.967915661
22,0.00537098,175.576,1.78848,0.000287429,0.0126984126984,1.58710701158,305.750819233
23,0.00559909,175.514,1.66579,0.000287582,0.0128571428571,1.54280375228,305.642865044
24,0.0058272,159.04,1.53877,0.000287754,0.0130158730159,1.35929761281,276.958392151
25,0.00605531,126.381,1.40493,0.00028773,0.0131746031746,1.21671429231,220.092652185
26,0.00628342,101.733,1.157,0.000287933,0.0133333333333,1.28265785932,177.175638233
27,0.00651153,73.7572,1.0068,0.000287945,0.0134920634921,1.23486609552,128.464270214
28,0.00673964,50.3633,0.832513,0.000287908,0.0136507936508,1.22322051712,87.7308909251
29,0.00696775,32.8155,0.631697,0.00028809,0.0138095238095,1.28373353636,57.1767211167
30,0.00719586,20.47,0.513456,0.000288118,0.0139682539683,1.33714700992,35.6807784134
31,0.00742397,13.3953,0.418695,0.000288148,0.014126984127,1.28392957494,23.3623347827
32,0.00765208,9.51865,0.336343,0.00028822,0.0142857142857,1.16652021391,16.6123249588
33,0.00788019,6.87441,0.288587,0.000288245,0.0144444444444,1.21620325855,12.0081832445
34,0.0081083,5.56943,0.243185,0.000288256,0.0146031746032,1.27234857393,9.7359564972
35,0.00833641,5.28818,0.243062,0.000288199,0.0147619047619,1.31801013591,9.24624495167
36,0.00856452,4.1403,0.21397,0.000288322,0.0149206349206,1.32125254708,7.24756019121
37,0.00879263,4.41207,0.203887,0.000288784,0.0150793650794,1.44705113584,7.72076519291
38,0.00902074,4.64933,0.217655,0.000288946,0.0152380952381,1.5637258911,8.13388149972
39,0.00924885,4.71545,0.215645,0.000288849,0.0153968253968,1.61368882998,8.24900941933
40,0.00947696,4.58574,0.20628,0.000289097,0.0155555555556,1.62200785266,8.02315880753
41,0.00970507,4.75859,0.211133,0.000289349,0.0157142857143,1.56568329728,8.32412464093
42,0.00993318,4.69535,0.206135,0.000289446,0.015873015873,1.45930275049,8.21401136754
43,0.0101613,4.66513,0.197529,0.000289425,0.0160317460317,1.56933534017,8.1613924061
44,0.0103894,3.96669,0.186025,0.000289415,0.0161904761905,1.61521160363,6.94527104838
45,0.0106175,4.0187,0.184483,0.000289676,0.0163492063492,1.61877914108,7.03583068388
46,0.0108456,3.38045,0.173092,0.000289715,0.0165079365079,1.60957655782,5.92451194989
47,0.0110737,2.94719,0.163139,0.000289555,0.0166666666667,1.46351340124,5.17012110824
48,0.0113018,2.5659,0.142523,0.00028984,0.0168253968254,1.32221161184,4.50622025422
49,0.01153,2.44603,0.139368,0.00028987,0.0169841269841,1.29678485612,4.29750301702
50,0.0117581,2.07335,0.126432,0.000289893,0.0171428571429,1.33262308497,3.64859386577
51,0.0119862,1.54003,0.109142,0.000290376,0.0173015873016,1.24752596796,2.71997889169
52,0.0122143,1.32051,0.101041,0.000290538,0.0174603174603,0.992873101732,2.33775141267
53,0.0124424,1.12754,0.0935025,0.000290521,0.017619047619,1.04024903619,2.00175270355
54,0.0126705,0.893876,0.0829044,0.000290729,0.0177777777778,1.0468601393,1.59489773973
55,0.0128986,0.857312,0.0794264,0.000290799,0.0179365079365,1.01597708472,1.53123262702
56,0.0131267,0.665249,0.0722125,0.000290739,0.0180952380952,0.951325150857,1.19681318322
57,0.0133548,0.719673,0.0744228,0.000291171,0.018253968254,0.895842581917,1.29157606732
58,0.0135829,0.66555,0.0690606,0.000291342,0.0184126984127,0.82511403927,1.1973372834
59,0.0138111,0.715514,0.0678635,0.00029134,0.0185714285714,0.695487869087,1.28433443064
60,0.0140392,0.759538,0.07167,0.000291737,0.0187301587302,0.593694812309,1.36098887003
61,0.0142673,0.644541,0.0641199,0.000291813,0.0188888888889,0.560034835334,1.1607564839
62,0.0144954,0.685545,0.0667948,0.000291757,0.0190476190476,0.629505554402,1.23215250954
63,0.0147235,0.734404,0.0704034,0.000291884,0.0192063492063,0.601834204115,1.31722563453
64,0.0149516,0.73708,0.067822,0.000292184,0.0193650793651,0.526149877564,1.32188507665
65,0.0151797,0.865417,0.0733046,0.000292113,0.0195238095238,0.41736153076,1.54534502551
66,0.0154078,0.906652,0.073885,0.000292087,0.0196825396825,0.433021068098,1.61714326758
67,0.0156359,0.910965,0.0745332,0.000292454,0.0198412698413,0.445564532905,1.62465304854
68,0.015864,0.812412,0.0704128,0.000292464,0.02,0.457765085155,1.4530528994
69,0.0160922,0.903263,0.0719109,0.000292644,0.0201587301587,0.476481649164,1.61124235228
70,0.0163203,0.908554,0.072614,0.000293078,0.0203174603175,0.482126166486,1.62045502352
71,0.0165484,0.900959,0.0689778,0.000293406,0.0204761904762,0.480679302408,1.6072306353
72,0.0167765,0.741766,0.0626599,0.000293563,0.0206349206349,0.473186026249,1.33004432395
73,0.0170046,0.720781,0.0649028,0.000293449,0.0207936507937,0.575779341849,1.29350531316
74,0.0172327,0.757846,0.0634801,0.000293864,0.0209523809524,0.576714333396,1.35804276538
75,0.0174608,0.547678,0.0531647,0.000294272,0.0211111111111,0.429599390464,0.992098957018
76,0.0176889,0.587538,0.0558226,0.000294196,0.0212698412698,0.524528368508,1.06150305375
77,0.017917,0.565955,0.0538595,0.000294089,0.0214285714286,0.524581909198,1.02392280739
78,0.0181451,0.512597,0.0518783,0.000294366,0.0215873015873,0.462196937732,0.931016038872
79,0.0183733,0.470254,0.0499327,0.000294726,0.021746031746,0.468949537669,0.857288550971
80,0.0186014,0.363272,0.0446802,0.000294903,0.0219047619048,0.439211731474,0.671011855634
81,0.0188295,0.284608,0.0370133,0.000295116,0.0220634920635,0.411475659146,0.534042365794
82,0.0190576,0.341943,0.0433974,0.000294844,0.0222222222222,0.436981172993,0.633873873217
83,0.0192857,0.313726,0.0390143,0.000294864,0.022380952381,0.476147755985,0.584742528577
84,0.0195138,0.217029,0.0323588,0.000295265,0.0225396825397,0.502442039128,0.416374040336
85,0.0197419,0.229953,0.035271,0.000295825,0.0226984126984,0.502891566237,0.438877265276
86,0.01997,0.238769,0.0360275,0.000296091,0.0228571428571,0.481913926707,0.454227654557
87,0.0201981,0.254216,0.035804,0.000295974,0.0230158730159,0.478150924571,0.481123918535
88,0.0204262,0.255316,0.0359638,0.000295841,0.0231746031746,0.490525575204,0.483039234802
89,0.0206544,0.249129,0.0363387,0.000295852,0.0233333333333,0.47760318541,0.472266451398
90,0.0208825,0.34651,0.0408609,0.00029669,0.0234920634921,0.470518650051,0.641825918118
91,0.0211106,0.224449,0.0344719,0.000297199,0.0236507936508,0.45377058379,0.429293719155
92,0.0213387,0.302795,0.0375631,0.000296877,0.0238095238095,0.383203309375,0.565709508473
93,0.0215668,0.242845,0.0348691,0.000297012,0.0239682539683,0.428324871007,0.461324771924
94,0.0217949,0.248418,0.0335535,0.000297542,0.024126984127,0.47699506298,0.471028460611
95,0.022023,0.210479,0.0314778,0.000298008,0.0242857142857,0.455206932339,0.404969202564
96,0.0222511,0.231529,0.0323059,0.000298595,0.0244444444444,0.432333558187,0.441621391127
97,0.0224792,0.266361,0.0347746,0.000298425,0.0246031746032,0.400914955787,0.502270751319
98,0.0227073,0.266732,0.034106,0.000298243,0.0247619047619,0.359620481108,0.50291673526
99,0.0229355,0.248362,0.0326546,0.000298761,0.0249206349206,0.368649796509,0.470930953601
100,0.0231636,0.26013,0.0330389,0.000299054,0.0250793650794,0.363203976711,0.491421355265
101,0.0233917,0.249465,0.0316466,0.00029914,0.0252380952381,0.34693938152,0.472851493458
102,0.0236198,0.24642,0.0308999,0.00029903,0.0253968253968,0.330448643113,0.467549549792
103,0.0238479,0.18818,0.0289392,0.000299643,0.0255555555556,0.359407189764,0.36614225944
104,0.024076,0.255864,0.0329286,0.000300467,0.0257142857143,0.392158712159,0.483993410542
105,0.0243041,0.237882,0.0313328,0.000300362,0.025873015873,0.380158398186,0.452683213167
106,0.0245322,0.218887,0.0306174,0.000300533,0.0260317460317,0.384988040501,0.41960918363
107,0.0247603,0.184382,0.0274491,0.000300824,0.0261904761905,0.41820649395,0.359529194729
108,0.0249884,0.191834,0.0270743,0.000301058,0.0263492063492,0.490661539888,0.372504591839
109,0.0252166,0.178434,0.0284873,0.00030141,0.0265079365079,0.412209684777,0.349172557315
110,0.0254447,0.164824,0.0263872,0.000301559,0.0266666666667,0.374810071513,0.325474871503
111,0.0256728,0.204923,0.0275382,0.000301543,0.0268253968254,0.384369747915,0.39529511422
112,0.0259009,0.195019,0.0291875,0.000302046,0.0269841269841,0.400417017529,0.378050303031
113,0.026129,0.201965,0.027817,0.000302643,0.0271428571429,0.411077066937,0.390144654658
114,0.0263571,0.261763,0.03074,0.00030253,0.0273015873016,0.416972459631,0.494264729323
115,0.0265852,0.190498,0.0264025,0.000302618,0.0274603174603,0.416065321464,0.370178353173
116,0.0268133,0.197946,0.0286256,0.000302717,0.027619047619,0.416793733057,0.383146785497
117,0.0270414,0.21119,0.0269983,0.000303204,0.0277777777778,0.40440761386,0.406207193351
118,0.0272695,0.217478,0.0301096,0.000303685,0.0279365079365,0.364051953805,0.417155837612
119,0.0274977,0.216729,0.0284041,0.000303927,0.0280952380952,0.333416116557,0.415851681354
120,0.0277258,0.217746,0.0275165,0.000304008,0.028253968254,0.304684467334,0.417622478302
121,0.0279539,0.18444,0.0272586,0.000304322,0.0284126984127,0.278156065371,0.359630184132
122,0.028182,0.160143,0.0235257,0.000305057,0.0285714285714,0.332718478389,0.317324330189
123,0.0284101,0.137135,0.0256228,0.000305427,0.0287301587302,0.338751941312,0.27726287867
124,0.0286382,0.182166,0.028312,0.0003057,0.0288888888889,0.324663286355,0.35567070305
125,0.0288663,0.158064,0.02493,0.000305622,0.0290476190476,0.401670551558,0.313704382444
126,0.0290944,0.221619,0.0286557,0.000306064,0.0292063492063,0.371766990881,0.424366132759
127,0.0293225,0.160068,0.0249745,0.000306808,0.0293650793651,0.298266019254,0.317193740443
128,0.0295506,0.101834,0.0220004,0.000306615,0.0295238095238,0.227706014819,0.215796897271
129,0.0297788,0.146479,0.0253621,0.000306325,0.0296825396825,0.26074179888,0.29353261976
130,0.0300069,0.168416,0.028327,0.000306596,0.0298412698413,0.303993546591,0.331729249713
