,X,Y,E,DX,q_range,y_range_fit,y_fit
5,0.00157719,0.0,0.0,0.0,0.01,8.06020643885,0.0116041999208
6,0.00181826,0.0,0.0,0.000149766,0.0101587301587,7.62921384616,0.0116041999208
7,0.00205933,26.2293,7.02416,0.000300751,0.0103174603175,7.32710328345,34.4609580068
8,0.0023004,27.5915,2.37136,0.000302169,0.0104761904762,7.26698191613,36.2500606422
9,0.00254148,31.0124,1.32922,0.000302445,0.0106349206349,7.05480086192,40.7430434682
10,0.00278255,36.07,1.14397,0.000302551,0.0107936507937,6.61292556131,47.3856550443
11,0.00302362,39.6985,1.20142,0.000302573,0.0109523809524,5.78891782071,52.1512980576
12,0.00326469,44.8725,1.19556,0.000302741,0.0111111111111,5.14264105815,58.946788467
13,0.00350576,51.98,1.17588,0.000302881,0.0112698412698,4.58213689596,68.2817223838
14,0.00374684,68.8087,1.43725,0.000302883,0.0114285714286,4.13110441944,90.3844029894
15,0.00398791,95.3398,1.45971,0.000303034,0.0115873015873,3.71762663088,125.230138514
16,0.00422898,119.416,1.6452,0.000302996,0.011746031746,3.37341449807,156.851627921
17,0.00447005,158.624,1.87036,0.000302934,0.0119047619048,3.18539795686,208.347102984
18,0.00471112,191.525,1.89611,0.000303172,0.0120634920635,2.79002985402,251.559014457
19,0.0049522,212.024,2.11494,0.000303134,0.0122222222222,2.32612375088,278.482237863
20,0.00519327,235.791,2.07536,0.000303085,0.012380952381,1.85565379882,309.697626453
21,0.00543434,238.549,1.97285,0.000303251,0.0125396825397,1.81706556308,313.319961696
22,0.00567541,220.238,1.99782,0.000303246,0.0126984126984,1.84686818185,289.270440071
23,0.00591648,196.077,1.72359,0.000303374,0.0128571428571,1.48095188351,257.537575018
24,0.00615756,158.932,1.52954,0.000303456,0.0130158730159,1.30879508313,208.751627732
25,0.00639863,117.656,1.35235,0.000303411,0.0131746031746,1.22475577432,154.540057933
26,0.0066397,85.0131,1.05613,0.000303711,0.0133333333333,1.12960007016,111.667132945
27,0.00688077,57.1792,0.883003,0.000303859,0.0134920634921,1.11574386538,75.1103102726
28,0.00712184,35.086,0.680113,0.000303886,0.0136507936508,1.1510506773,46.093277278
29,0.00736292,21.7012,0.505472,0.000304082,0.0138095238095,1.21685646672,28.5137875153
30,0.00760399,15.0592,0.433646,0.000304109,0.0139682539683,1.29137091014,19.7902375927
31,0.00784506,10.4998,0.367527,0.000304161,0.014126984127,1.36239024303,13.8019579303
32,0.00808613,7.98372,0.302074,0.000304387,0.0142857142857,1.33961450859,10.497358489
33,0.0083272,7.49293,0.302386,0.000304294,0.0144444444444,1.44476237189,9.85275881022
34,0.00856828,6.60429,0.263952,0.000304395,0.0146031746032,1.63532293449,8.68562610874
35,0.00880935,6.30497,0.260505,0.000304367,0.0147619047619,1.61747713474,8.29250160365
36,0.00905042,6.06072,0.255038,0.000304177,0.0149206349206,1.59616307752,7.97170559814
37,0.00929149,6.9188,0.258508,0.000304708,0.0150793650794,1.57041277891,9.09870103891
38,0.00953256,6.03113,0.247011,0.000304787,0.0152380952381,1.4439875651,7.9328423277
39,0.00977364,6.33188,0.248053,0.000304731,0.0153968253968,1.44041704243,8.32784498341
40,0.0100147,6.11487,0.23517,0.000304965,0.0155555555556,1.56232861411,8.04282577704
41,0.0102558,5.58771,0.22849,0.000304853,0.0157142857143,1.73463950841,7.3504580298
42,0.0104969,5.51818,0.221651,0.000305029,0.015873015873,1.81474551471,7.25913788133
43,0.0107379,5.24652,0.210838,0.000305185,0.0160317460317,1.78402334901,6.90234180004
44,0.010979,4.29356,0.192125,0.000305214,0.0161904761905,1.59187623683,5.65073172261
45,0.0112201,3.58756,0.172958,0.00030573,0.0163492063492,1.48084926473,4.72347694312
46,0.0114611,3.06616,0.16212,0.000305994,0.0165079365079,1.49663836537,4.03867433402
47,0.0117022,2.59917,0.148211,0.000305902,0.0166666666667,1.56599103456,3.42533338576
48,0.0119433,2.38173,0.136625,0.000306251,0.0168253968254,1.54197778177,3.13974942081
49,0.0121844,1.8476,0.118033,0.000306393,0.0169841269841,1.35762749394,2.43822733106
50,0.0124254,1.30373,0.0990098,0.000306088,0.0171428571429,1.19463049994,1.72391280284
