# X , Y , E , DX
1
0.00117136,0,0,0
0.00194529,0,0,0
0.00271922,0,0,0
0.00349315,0,0,0
0.00426708,0,0,0
0.00504101,0,0,0
0.00581494,0,0,0.000416947
0.00658887,32.3286,0.434065,0.000845943
0.0073628,29.7332,0.121886,0.000858171
0.00813673,22.0492,0.104494,0.000859166
0.00891066,17.7615,0.0668747,0.00086003
0.00968459,14.0407,0.0462769,0.000864534
0.0104585,9.05727,0.0377878,0.000866831
0.0112324,4.33019,0.0252432,0.000865228
0.0120064,2.95928,0.0199091,0.00086599
0.0127803,2.05715,0.0173783,0.000864943
0.0135542,1.46926,0.0134507,0.000865803
0.0143282,1.22929,0.0119762,0.000866887
0.0151021,0.997202,0.0108795,0.000866093
0.015876,0.871807,0.00937368,0.000868007
0.01665,0.79309,0.00906552,0.000868305
0.0174239,0.669959,0.00811735,0.000868025
0.0181978,0.581763,0.00722701,0.000870051
0.0189717,0.49502,0.00659353,0.000869951
0.0197457,0.412289,0.00592339,0.000870382
0.0205196,0.358029,0.00540966,0.000871536
0.0212935,0.321526,0.00502794,0.000870967
0.0220675,0.291761,0.00471706,0.000872822
0.0228414,0.274213,0.00451877,0.000873973
0.0236153,0.257146,0.00429698,0.000874182
0.0243893,0.243864,0.00412059,0.000876358
0.0251632,0.241492,0.00399011,0.000877022
0.0259371,0.228214,0.00396421,0.000877645
0.026711,0.219841,0.00384741,0.000878219
0.027485,0.205536,0.00367217,0.000877751
0.0282589,0.190164,0.00353676,0.000879359
0.0290328,0.182515,0.00335569,0.000881175
0.0298068,0.173578,0.00322732,0.000881579
0.0305807,0.161854,0.00306781,0.000882996
0.0313546,0.14409,0.00285403,0.000884631
0.0321286,0.141089,0.00277254,0.000885589
0.0329025,0.139065,0.00275876,0.000886557
0.0336764,0.137157,0.0027123,0.000888223
0.0344503,0.129923,0.0026302,0.000888643
0.0352243,0.125094,0.00258011,0.000888951
0.0359982,0.125539,0.00252398,0.000891085
0.0367721,0.130007,0.00255293,0.000892403
0.0375461,0.121065,0.00240247,0.000893902
0.03832,0.12289,0.00237363,0.000895846
0.0390939,0.116816,0.00232901,0.000897252
0.0398679,0.117763,0.0023367,0.00089897
0.0406418,0.112343,0.00222617,0.000900191
0.0414157,0.112806,0.00227335,0.000901414
0.0421896,0.110519,0.00216305,0.000903083
0.0429636,0.109549,0.00219603,0.000904172
0.0437375,0.110933,0.00213037,0.000906209
0.0445114,0.113329,0.0021662,0.000908359
