# X , Y , E , DX
1
0.00111314,0,0,0
0.00184613,0,0,0
0.00257911,0,0,0
0.0033121,0,0,0
0.00404508,0,0,0
0.00477807,0,0,0
0.00551105,0,0,0.000396397
0.00624404,32.0935,0.428921,0.000803983
0.00697702,30.5495,0.124036,0.000815195
0.00771001,23.2155,0.10796,0.000815858
0.00844299,18.3482,0.068135,0.00081665
0.00917598,14.3642,0.0470453,0.000820582
0.00990896,9.67461,0.0392888,0.000822441
0.0106419,4.51804,0.0258969,0.000820755
0.0113749,3.12895,0.0204668,0.000821375
0.0121079,2.13506,0.0178865,0.00082072
0.0128409,1.47759,0.0135377,0.00082153
0.0135739,1.19468,0.0117793,0.000822602
0.0143069,0.937428,0.0105684,0.000821546
0.0150399,0.804537,0.00907984,0.000822626
0.0157728,0.736162,0.00881124,0.000822936
0.0165058,0.654432,0.00812837,0.000822277
0.0172388,0.592981,0.00730676,0.000823736
0.0179718,0.522733,0.00694607,0.00082377
0.0187048,0.450008,0.0062063,0.000824085
0.0194378,0.39005,0.00567299,0.000825251
0.0201708,0.328695,0.00520175,0.000825265
0.0209037,0.290976,0.00474028,0.000826532
0.0216367,0.270993,0.00455675,0.000827285
0.0223697,0.256524,0.00435098,0.000827278
0.0231027,0.249405,0.00417897,0.000828745
0.0238357,0.227462,0.00394938,0.000829365
0.0245687,0.22814,0.00401384,0.000829813
0.0253016,0.217645,0.00394431,0.000830199
0.0260346,0.214744,0.00381579,0.000830215
0.0267676,0.204245,0.00368576,0.000831489
0.0275006,0.202177,0.00361977,0.000832905
0.0282336,0.189645,0.00337447,0.000833439
0.0289666,0.182227,0.00331772,0.000834139
0.0296996,0.165331,0.00313153,0.000835471
0.0304325,0.162623,0.00301749,0.000835916
0.0311655,0.152885,0.00297967,0.00083667
0.0318985,0.145363,0.00283016,0.000837737
0.0326315,0.146748,0.00285422,0.00083869
0.0333645,0.140013,0.00278572,0.000839615
0.0340975,0.136959,0.0026991,0.000840768
0.0348305,0.130991,0.00256406,0.000842303
0.0355634,0.134325,0.00258529,0.000843358
0.0362964,0.131829,0.00251792,0.00084462
0.0370294,0.13386,0.00258733,0.000845972
0.0377624,0.128039,0.00243891,0.000847688
0.0384954,0.12615,0.00244389,0.000848239
0.0392284,0.12674,0.00242783,0.000848492
0.0399613,0.132247,0.00246243,0.000850027
0.0406943,0.123406,0.00235165,0.000851446
0.0414273,0.120945,0.00230581,0.000852841
0.0421603,0.119453,0.00223799,0.000854704
0.0428933,0.12256,0.00233347,0.000856568
0.0436263,0.120527,0.00225727,0.000857535
0.0443593,0.123897,0.00232896,0.000858671
0.0450922,0.11782,0.0021818,0.000859622
0.0458252,0.122541,0.00229122,0.000860854
0.0465582,0.121381,0.00218982,0.00086247
0.0472912,0.118369,0.00215522,0.000863915
0.0480242,0.11908,0.00213268,0.000865774
0.0487572,0.118544,0.00209149,0.000867275
0.0494902,0.119217,0.00209112,0.00086894
0.0502231,0.115961,0.00205209,0.000870859
0.0509561,0.116188,0.00203274,0.000872609
0.0516891,0.119833,0.00204589,0.00087433
0.0524221,0.117662,0.00200339,0.000875703
0.0531551,0.11974,0.00199545,0.000877352
0.0538881,0.116832,0.00197055,0.000879031
0.054621,0.117142,0.00197396,0.000880816
0.055354,0.117492,0.00195072,0.000882818
0.056087,0.11612,0.0019487,0.000884479
0.05682,0.117292,0.00191487,0.000886213
0.057553,0.120291,0.00193798,0.000887941
0.058286,0.119396,0.00192005,0.000889925
0.059019,0.117778,0.00186456,0.000891869
0.0597519,0.118836,0.00189758,0.000893267
0.0604849,0.114582,0.00183139,0.000895445
0.0612179,0.12067,0.00187081,0.000897636
0.0619509,0.119185,0.0018546,0.000899304
0.0626839,0.119748,0.00184166,0.000901399
0.0634169,0.116444,0.0017918,0.00090336
0.0641499,0.116345,0.00180242,0.000905301
0.0648828,0.119334,0.00179883,0.000907654
0.0656158,0.117482,0.00178297,0.000909504
0.0663488,0.117702,0.00177619,0.000911449
0.0670818,0.118153,0.00175983,0.000913795
0.0678148,0.118574,0.00175418,0.000915685
0.0685478,0.113981,0.00171723,0.000917451
0.0692807,0.118962,0.00174531,0.000919493
0.0700137,0.119578,0.00172153,0.000921963
0.0707467,0.116036,0.00170165,0.000924497
0.0714797,0.12077,0.00171363,0.000926441
0.0722127,0.116451,0.0016768,0.000928346
0.0729457,0.12255,0.00170168,0.000930878
0.0736787,0.118488,0.00166899,0.00093315
0.0744116,0.121419,0.00168657,0.000935305
0.0751446,0.121322,0.00167704,0.000937638
0.0758776,0.124209,0.00167055,0.000939689
0.0766106,0.121792,0.00166415,0.000941929
0.0773436,0.119769,0.0016324,0.000944479
0.0780766,0.121295,0.00163677,0.000946709
0.0788096,0.122923,0.00163769,0.000949074
0.0795425,0.121264,0.00162058,0.000951511
0.0802755,0.120513,0.00161101,0.000953642
0.0810085,0.1201,0.0016096,0.000955797
0.0817415,0.120965,0.00160741,0.000958616
0.0824745,0.119899,0.00157605,0.000961181
0.0832075,0.120597,0.00159879,0.000963661
0.0839404,0.120327,0.00156711,0.000966025
0.0846734,0.120332,0.00158614,0.000968062
0.0854064,0.118045,0.00155042,0.00097072
0.0861394,0.122205,0.00158666,0.000973233
0.0868724,0.123044,0.00159435,0.000976043
0.0876054,0.121984,0.0015713,0.000979174
0.0883384,0.122044,0.00159122,0.000982129
0.0890713,0.122745,0.00160763,0.000984716
0.0898043,0.121762,0.00161429,0.000987424
0.0905373,0.121617,0.00160277,0.000990009
0.0912703,0.123165,0.00164967,0.000992384
0.0920033,0.122757,0.00165302,0.000995587
0.0927363,0.120039,0.00163717,0.000998429
0.0934693,0.122006,0.00167639,0.00100075
0.0942022,0.120174,0.00168352,0.00100365
