# X , Y , E , DX
1
0.00123554,0,0,0
0.00205432,0,0,0
0.00287309,0,0,0
0.00369186,0,0,0
0.00451064,0,0,0
0.00532941,0,0,0
0.00614818,0,0,0.000439203
0.00696696,30.7382,0.403707,0.000892312
0.00778573,28.1027,0.118851,0.00090495
0.0086045,20.5781,0.0988575,0.000905388
0.00942327,17.0722,0.0648066,0.000907907
0.010242,12.9935,0.043348,0.000913285
0.0110608,7.95311,0.0356214,0.000914661
0.0118796,4.10006,0.0244902,0.000913496
0.0126984,2.81849,0.0194158,0.000914855
0.0135171,2.01677,0.0173404,0.000913132
0.0143359,1.54598,0.0136853,0.000914476
0.0151547,1.29322,0.0122768,0.000915403
0.0159735,1.10183,0.0114332,0.000914032
0.0167922,0.966701,0.00989407,0.000916468
0.017611,0.844456,0.00934641,0.00091723
0.0184298,0.70607,0.00830148,0.000917309
0.0192486,0.581172,0.00717855,0.000919784
0.0200673,0.507136,0.00664162,0.000919511
0.0208861,0.424736,0.00600327,0.000920242
0.0217049,0.376507,0.0055044,0.000921632
0.0225236,0.35629,0.00530816,0.0009212
0.0233424,0.328771,0.00498569,0.000922812
0.0241612,0.311689,0.0048215,0.000924204
0.02498,0.303189,0.00460892,0.000924883
0.0257987,0.280271,0.00443674,0.000926513
0.0266175,0.275251,0.00426774,0.000927315
0.0274363,0.257585,0.0042096,0.000928705
0.0282551,0.234546,0.00401289,0.00093
0.0290738,0.233507,0.00387899,0.000929705
0.0298926,0.208333,0.00366911,0.000931079
0.0307114,0.195578,0.00345589,0.000933336
0.0315301,0.185621,0.00328863,0.000934326
0.0323489,0.176499,0.00321478,0.000935584
0.0331677,0.174282,0.00307768,0.000937326
0.0339865,0.166007,0.00301804,0.000938986
0.0348052,0.161673,0.00296072,0.000940644
0.035624,0.156057,0.00287634,0.000942163
0.0364428,0.157785,0.00291927,0.000943089
0.0372616,0.156826,0.00282516,0.000943895
0.0380803,0.151081,0.00275937,0.000945933
0.0388991,0.152717,0.00271665,0.000947351
0.0397179,0.147969,0.00265956,0.000949201
0.0405366,0.145393,0.00255274,0.000951256
0.0413554,0.140032,0.00253529,0.000952448
0.0421742,0.144547,0.00255027,0.000954961
0.042993,0.139513,0.00249116,0.000956048
0.0438117,0.137854,0.00247133,0.000956699
0.0446305,0.140522,0.00243804,0.000958867
0.0454493,0.136483,0.00238513,0.000961112
0.0462681,0.135019,0.00234694,0.000962906
0.0470868,0.13844,0.00238116,0.000964678
0.0479056,0.135501,0.0023363,0.000966629
0.0487244,0.133455,0.0023209,0.000968853
0.0495432,0.133776,0.00230206,0.000970594
0.0503619,0.137241,0.00230803,0.000972017
0.0511807,0.13864,0.0023173,0.000974265
0.0519995,0.131596,0.00221718,0.000976409
0.0528182,0.134551,0.00220743,0.000977973
0.053637,0.134492,0.00218727,0.000980303
0.0544558,0.132549,0.00213915,0.000982579
0.0552746,0.134896,0.0021474,0.000984478
0.0560933,0.130183,0.00208473,0.000987054
0.0569121,0.132153,0.00207418,0.000989121
0.0577309,0.131423,0.00208846,0.000991051
0.0585497,0.138694,0.00210525,0.000993832
0.0593684,0.12996,0.00202122,0.000996212
0.0601872,0.128048,0.0020137,0.000998146
0.061006,0.135862,0.00202494,0.00100054
0.0618247,0.130631,0.00197603,0.00100255
0.0626435,0.13295,0.00198325,0.0010043
0.0634623,0.135285,0.00199083,0.00100715
0.0642811,0.134184,0.00196796,0.0010097
0.0650998,0.130951,0.00194013,0.00101219
0.0659186,0.1277,0.00188942,0.00101495
0.0667374,0.12983,0.00190304,0.00101711
0.0675562,0.13146,0.00191613,0.00101997
0.0683749,0.130187,0.00187867,0.00102288
0.0691937,0.130728,0.00186834,0.00102492
0.0700125,0.134859,0.0018744,0.00102738
0.0708312,0.132422,0.00186006,0.00102982
0.07165,0.131531,0.00183756,0.00103223
0.0724688,0.136648,0.00187491,0.00103562
0.0732876,0.133217,0.00181861,0.00103793
0.0741063,0.134596,0.00182566,0.00104018
0.0749251,0.133546,0.00180903,0.00104356
0.0757439,0.132668,0.00179194,0.00104588
0.0765627,0.136041,0.00180808,0.0010484
0.0773814,0.133961,0.00176959,0.0010516
0.0782002,0.132487,0.00176161,0.00105416
0.079019,0.132816,0.00175593,0.0010572
0.0798378,0.132398,0.0017341,0.00106002
0.0806565,0.135452,0.00175209,0.00106277
0.0814753,0.136628,0.0017453,0.00106581
0.0822941,0.136862,0.00173167,0.00106848
0.0831128,0.134902,0.00172842,0.00107167
0.0839316,0.133606,0.00169377,0.00107505
0.0847504,0.134173,0.00170065,0.00107778
0.0855692,0.131023,0.00165685,0.0010804
0.0863879,0.137007,0.00170452,0.00108338
0.0872067,0.135375,0.00165778,0.00108653
0.0880255,0.13521,0.00168181,0.0010896
0.0888443,0.133109,0.00163907,0.00109297
0.089663,0.135961,0.00166292,0.00109575
0.0904818,0.134805,0.00163992,0.00109894
0.0913006,0.135233,0.00163678,0.00110219
0.0921193,0.134945,0.00162845,0.00110481
0.0929381,0.135916,0.00163249,0.00110804
0.0937569,0.136782,0.00162894,0.00111144
0.0945757,0.135368,0.00162001,0.00111449
0.0953944,0.137178,0.00161716,0.00111775
0.0962132,0.135974,0.00161715,0.00112162
0.097032,0.134807,0.00161501,0.00112514
0.0978508,0.136543,0.00162011,0.00112861
0.0986695,0.13773,0.00163725,0.00113213
0.0994883,0.13827,0.0016484,0.00113593
0.100307,0.137645,0.00164935,0.00114024
0.101126,0.134383,0.00164046,0.00114403
0.101945,0.134046,0.00163613,0.00114741
0.102763,0.137857,0.00167697,0.00115062
0.103582,0.13752,0.00169919,0.00115368
0.104401,0.13809,0.00172005,0.00115745
0.10522,0.134444,0.0017245,0.00116114
0.106038,0.134288,0.00174361,0.00116434
0.106857,0.13762,0.00179631,0.00116865
0.107676,0.136562,0.00180325,0.00117265
0.108495,0.134653,0.00182881,0.00117619
0.109314,0.135368,0.00186928,0.00118064
0.110132,0.132139,0.00189283,0.00118467
0.110951,0.131538,0.0019086,0.00118808
0.11177,0.132742,0.0019693,0.00119146
0.112589,0.130267,0.00197953,0.0011952
0.113407,0.134488,0.00205431,0.00119923
0.114226,0.13417,0.00208495,0.00120229
0.115045,0.136389,0.00216558,0.00120536
0.115864,0.134458,0.0021895,0.00120905
0.116683,0.136284,0.00224197,0.00121264
0.117501,0.133788,0.00226525,0.00121669
0.11832,0.129517,0.00226269,0.00122029
0.119139,0.134587,0.00238877,0.0012235
0.119958,0.139099,0.00248017,0.00122706
0.120776,0.138903,0.0025261,0.00123151
0.121595,0.135364,0.00250685,0.00123585
0.122414,0.130688,0.00252542,0.00123929
0.123233,0.129366,0.00256893,0.00124386
0.124051,0.126475,0.00259519,0.00124745
0.12487,0.134992,0.00272481,0.00125149
0.125689,0.133062,0.00277076,0.0012554
0.126508,0.133015,0.00286457,0.00125925
0.127327,0.129702,0.00287761,0.00126365
0.128145,0.135573,0.00304375,0.00126732
0.128964,0.134913,0.00309077,0.00127136
0.129783,0.13091,0.00318731,0.00127535
0.130602,0.130019,0.00323313,0.00128027
0.13142,0.130929,0.00335269,0.00128486
0.132239,0.13196,0.00346042,0.00128867
0.133058,0.131269,0.00365507,0.00129174
0.133877,0.13255,0.00379445,0.00129588
0.134696,0.128636,0.0039201,0.0013017
0.135514,0.133775,0.00419883,0.00130685
0.136333,0.131298,0.00423088,0.00131148
0.137152,0.126659,0.00437443,0.00131523
0.137971,0.13359,0.00491637,0.00131989
0.138789,0.133355,0.00529519,0.00132609
0.139608,0.131996,0.00556825,0.00132992
0.140427,0.12404,0.00561778,0.00133577
0.141246,0.118576,0.00640378,0.00134153
0.142065,0.12295,0.00694092,0.00134643
0.142883,0.129077,0.00776724,0.00135217
0.143702,0.11859,0.00776722,0.0013576
0.144521,0.120972,0.00803205,0.00136418
0.14534,0.113561,0.00890732,0.00136934
0.146158,0.146595,0.0133204,0.00137461
0.146977,0.121461,0.0154064,0.0013813
0.147796,0.144521,0.0126005,0.00138768
0.148615,0.112795,0.0121224,0.00139269
0.149433,0.13544,0.0156613,0.00139818
0.150252,0.103901,0.0141383,0.00140424
0.151071,0.144931,0.0165455,0.0014095
0.15189,0.120345,0.0195279,0.001416
0.152709,0.0918504,0.0185382,0.00142387
0.153527,0.124168,0.0203369,0.00143016
0.154346,0.0834537,0.0163894,0.00143607
0.155165,0.104221,0.0254253,0.00144034
0.155984,0.170268,0.0390891,0.00144532
0.156802,0.124827,0.0393845,0.0014529
0.157621,0.143342,0.0486658,0.00145795
0.15844,0.153526,0.0705712,0.000729785
0.159259,0,0,0
0.160078,0,0,0
0.160896,0,0,0
0.161715,0,0,0
0.162534,0,0,0
0.163353,0,0,0
0.164171,0,0,0
